id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt4118584,Shades of Blue,(2016–2018),6.9,TV-14,60 min,"Action, Crime, Drama","10,479","97,403,112",Anonymous,nm0000000,"nm0000182,nm0000501,nm0005576,nm3912883","Jennifer Lopez,Ray Liotta,Drea de Matteo,Dayo Okeniyi","Harlee Santos, New York police officer and single mother, is forced to work in the F.B.I.'s anti-corruption task force while dealing with her own financial problems."
tt13322120,American Sicario,(2021),6.0,R,101 min,"Action, Crime, Drama","10,419","97,403,112",nm0172614,RJ Collins,"nm8020424,nm0173997,nm3389576,nm0001803","Philippe A. Haddad,Maurice Compte,Maya Stojan,Danny Trejo","American gangster Erik Vasquez is scheming to become the top dog in the Mexican underworld, only to find himself making enemies out of both the powerful cartels and his own allies."
tt14252964,Gone for Good,(2021),6.3,TV-MA,247 min,"Crime, Drama, Mystery","4,044","97,403,112",Anonymous,nm0000000,"nm2028613,nm0245164,nm0332267,nm4469165","Finnegan Oldfield,Nicolas Duvauchelle,Guillaume Gouix,Garance Marillier","Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's funeral."
tt0417217,Two for the Money,(2005),6.2,R,122 min,"Crime, Drama, Sport",46004,"22,862,049",nm0142286,D.J. Caruso,"nm0000190,nm0000199,nm0000623,nm0000800","Matthew McConaughey,Al Pacino,Rene Russo,Armand Assante","After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business."
tt1129442,Transporter 3,(2008),6.0,PG-13,104 min,"Action, Crime, Thriller",166397,"31,715,062",nm0576298,Olivier Megaton,"nm0005458,nm0460694,nm3130063,nm0075710","Jason Statham,Robert Knepper,Natalya Rudakova,François Berléand","Frank Martin is forced to deliver Valentina, the kidnapped daughter of a Ukrainian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery."
tt7456312,The Last Thing He Wanted,(2020),4.3,R,115 min,"Crime, Drama, Thriller","15,205","31,715,062",nm2011696,Dee Rees,"nm0004266,nm0000255,nm0001609,nm0000353","Anne Hathaway,Ben Affleck,Rosie Perez,Willem Dafoe",A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.
tt12663250,Yaksha: Ruthless Operations,(2022),6.2,TV-14,125 min,"Action, Crime, Thriller","2,985","31,715,062",nm1593802,Hyeon Na,"nm0812555,nm7676537,nm0407507,nm1020006","Sol Kyung-gu,Park Hae-soo,Hiroyuki Ikeuchi,Dong-kun Yang","Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies."
tt0051378,Elevator to the Gallows,(1958),7.9,Not Rated,91 min,"Crime, Drama, Thriller",25257,"109,257",nm0001501,Louis Malle,"nm0603402,nm0740067,nm0693560,nm0078112","Jeanne Moreau,Maurice Ronet,Georges Poujouly,Yori Bertin","A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
tt0990407,The Green Hornet,(2011),5.8,PG-13,119 min,"Action, Comedy, Crime",160190,"98,780,042",nm0327273,Michel Gondry,"nm0736622,nm1727100,nm0910607,nm0000139","Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz","Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team."
tt6043142,Skin,(V) (2018),6.8,R,118 min,"Biography, Crime, Drama","18,605","98,780,042",nm1142235,Guy Nattiv,"nm0068260,nm4359664,nm2989873,nm0131966","Jamie Bell,Danielle Macdonald,Daniel Henshall,Bill Camp","A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves."
